Time,Channel0,Channel1,Unit: s
26.20282352,1,0,
26.20420624,1,1,
26.25282336,0,1,
26.2552024,0,0,
26.30282304,1,0,
26.30419872,1,1,
26.35282272,0,1,
26.35519488,0,0,
26.40282256,1,0,
26.4041912,1,1,
26.45282224,0,1,
26.45518752,0,0,
26.50282208,1,0,
26.50418368,1,1,
26.55282176,0,1,
26.55518,0,0,
26.60282144,1,0,
26.60417616,1,1,
26.65282128,0,1,
26.65517248,0,0,
26.70282096,1,0,
26.7041688,1,1,
26.75282064,0,1,
26.75516496,0,0,
26.80282048,1,0,
26.80416128,1,1,
26.85282016,0,1,
26.85515744,0,0,
26.90281984,1,0,
26.90415376,1,1,
26.95281968,0,1,
26.95514992,0,0,
27.00281936,1,0,
27.00414624,1,1,
27.05281904,0,1,
27.05514256,0,0,
27.10281888,1,0,
27.10413872,1,1,
27.15281856,0,1,
27.15513504,0,0,
27.2028184,1,0,
27.2041312,1,1,
27.25281808,0,1,
27.25512752,0,0,
27.30281776,1,0,
27.30412384,1,1,
27.3528176,0,1,
27.35512,0,0,
27.40281728,1,0,
27.40411632,1,1,
27.45281696,0,1,
27.45511248,0,0,
27.5028168,1,0,
27.5041088,1,1,
27.55281648,0,1,
27.55510496,0,0,
27.60281616,1,0,
27.60410128,1,1,
27.652816,0,1,
27.65509744,0,0,
27.70281568,1,0,
27.70409376,1,1,
27.75281536,0,1,
27.75509008,0,0,
27.8028152,1,0,
27.80408624,1,1,
27.85281488,0,1,
27.85508256,0,0,
27.90281472,1,0,
27.90407888,1,1,
27.9528144,0,1,
27.95507504,0,0,
28.00281408,1,0,
28.00407136,1,1,
28.05281392,0,1,
28.05506752,0,0,
28.1028136,1,0,
28.10406384,1,1,
28.15281328,0,1,
28.15506,0,0,
28.20281312,1,0,
28.20405632,1,1,
28.2528128,0,1,
28.25505248,0,0,
28.30281248,1,0,
28.3040488,1,1,
28.35281232,0,1,
28.35504496,0,0,
28.402812,1,0,
28.40404128,1,1,
28.45281168,0,1,
28.4550376,0,0,
28.50281152,1,0,
28.50503376,1,1,
28.5528112,0,1,
28.55503008,0,0,
28.60281104,1,0,
28.60502624,1,1,
28.65281072,0,1,
28.65502256,0,0,
28.7028104,1,0,
28.70501872,1,1,
28.75281024,0,1,
28.75501504,0,0,
28.80280992,1,0,
28.80501136,1,1,
28.8528096,0,1,
28.85500752,0,0,
28.90280944,1,0,
28.90400384,1,1,
28.95280912,0,1,
28.955,0,0,
29.0028088,1,0,
29.00499632,1,1,
29.05280864,0,1,
29.05499264,0,0,
29.10280832,1,0,
29.1049888,1,1,
29.152808,0,1,
29.15498512,0,0,
29.20280784,1,0,
29.20498128,1,1,
29.25280752,0,1,
29.2549776,0,0,
29.3028072,1,0,
29.30497376,1,1,
29.35280704,0,1,
29.35497008,0,0,
29.40280672,1,0,
29.4049664,1,1,
29.45280656,0,1,
29.45496256,0,0,
29.50280624,1,0,
29.50495888,1,1,
29.55280592,0,1,
29.55495504,0,0,
29.60280576,1,0,
29.60495136,1,1,
29.65280544,0,1,
29.65494768,0,0,
29.70280512,1,0,
29.70494384,1,1,
29.75280496,0,1,
29.75494016,0,0,
29.80280464,1,0,
29.80493632,1,1,
29.85280432,0,1,
29.85493264,0,0,
29.90280416,1,0,
29.9049288,1,1,
29.95280384,0,1,
29.95492512,0,0,
30.00280352,1,0,
30.00492144,1,1,
30.05280336,0,1,
30.0549176,0,0,
30.10280304,1,0,
30.10491392,1,1,
30.15280272,0,1,
30.15491024,0,0,
30.20280256,1,0,
30.2049064,1,1,
30.25280224,0,1,
30.25490272,0,0,
30.30280208,1,0,
30.30489888,1,1,
30.35280176,0,1,
30.3548952,0,0,
30.40280144,1,0,
30.40489136,1,1,
30.45280128,0,1,
30.45488768,0,0,
30.50280096,1,0,
30.50488384,1,1,
30.55280064,0,1,
30.55488016,0,0,
30.60280048,1,0,
30.60487648,1,1,
30.65280016,0,1,
30.65487264,0,0,
30.70279984,1,0,
30.70486896,1,1,
30.75279968,0,1,
30.75486512,0,0,
30.80279936,1,0,
30.80486144,1,1,
30.85279904,0,1,
30.85485776,0,0,
30.90279888,1,0,
30.90485392,1,1,
30.95279856,0,1,
30.95485024,0,0,
31.00279824,1,0,
31.0048464,1,1,
31.05279808,0,1,
31.05484272,0,0,
31.10279776,1,0,
31.10483888,1,1,
31.1527976,0,1,
31.1548352,0,0,
31.20279728,1,0,
31.20483136,1,1,
31.25279696,0,1,
31.25482768,0,0,
31.3027968,1,0,
31.304824,1,1,
31.35279648,0,1,
31.35482016,0,0,
31.40279616,1,0,
31.40481648,1,1,
31.452796,0,1,
31.45481264,0,0,
31.50279568,1,0,
31.50480896,1,1,
31.55279536,0,1,
31.55480528,0,0,
31.6027952,1,0,
31.60480144,1,1,
31.65279488,0,1,
